Country,Continent,Life expectancy,Cigarette consumption,male,female
Afghanistan,Asia,64.956,311.6025362,63.498,66.522
Albania,Europe,78.612,2491.599232,77.03,80.252
Algeria,Africa,76.954,1046.66874,75.754,78.208
Angola,Africa,61.212,340.1873485,58.482,64.1
Antigua and Barbuda,North America,77.08,89.21741037,75.906,78.178
Argentina,South America ,76.738,1176.133082,73.328,80.048
Armenia,Europe,75.142,1985.667796,71.4,78.54
Australia,Oceania,83.496,916.9821846,81.558,85.452
Austria,Europe,81.63,1926.951764,79.286,83.926
Azerbaijan,Europe,73.018,1525.566906,70.49,75.504
Bahamas,North America,73.95,438.631766,71.668,76.132
Bahrain,Asia,77.352,1101.49735,76.498,78.484
Bangladesh,Asia,72.718,744.0841957,71.008,74.706
Barbados,North America,79.268,277.518512,77.904,80.55
Belarus,Europe,74.774,2911.297899,69.64,79.564
Belgium,Europe,81.702,2440.880001,79.412,83.938
Belize,North America,74.658,168.6157945,71.708,77.848
Benin,Africa,61.916,204.0189473,60.342,63.478
Bolivia,Europe,71.588,291.5955317,68.768,74.57
Bosnia and Herzegovina,Europe,77.48,1767.158389,74.982,79.918
Botswana,Africa,69.398,433.4769996,66.306,72.192
Brazil,South America,75.964,333.4978072,72.344,79.618
Brunei,Asia,75.932,9.676124393,74.792,77.184
Bulgaria,Europe,75.106,1757.252777,71.624,78.712
Burkina Faso,Africa,61.744,408.1420577,60.89,62.472
Burundi,Africa,61.696,239.4465997,59.872,63.504
Cambodia,Asia,69.88,726.1504604,67.582,71.976
Cameroon,Africa,59.39,171.0277848,58.114,60.676
Canada,North America,82.516,1021.321245,80.556,84.446
Cape Verde,Africa,73.052,397.1290283,69.598,76.284
Central African Rep.,Africa,53.346,213.1523183,51.164,55.554
Chad,Africa,54.348,279.3296457,52.938,55.786
Chile,South America,80.272,769.3434908,77.88,82.512
China,Asia,76.96,2043.006553,74.826,79.274
Colombia,South America,77.36,351.3682745,74.61,80.084
Comoros,Africa,64.4,585.3976911,62.658,66.208
Congo,Africa,60.766,195.2494156,59.224,62.328
Costa Rica,North America,80.376,411.3744722,77.87,82.952
Côte d'Ivoire,Africa,57.844,352.6663858,56.642,59.194
Croatia,Europe,78.558,1578.881422,75.386,81.642
Cuba,North America,78.886,233.5232564,76.932,80.85
Cyprus,Europe,81.054,1961.3523,79.01,83.084
Czech Republic,Europe,79.43,2427.882737,76.82,81.996
Dem. Rep. Congo,Africa,64.58,128.0239064,63.088,66.034
Denmark,Europe,80.968,1298.03935,79.03,82.916
Djibouti,Africa,67.072,785.5204623,65.084,69.308
Dominican Rep.,North America,74.146,218.9153365,71.064,77.432
Ecuador,South America,77.104,93.4932465,74.39,79.916
Egypt,Africa,72.06,1449.410418,69.804,74.428
El Salvador,North America,73.418,206.7029706,68.574,77.916
Equatorial Guinea,Africa,58.878,328.2451553,57.866,60.078
Eritrea,Africa,66.436,132.3249214,64.264,68.676
Estonia,Europe,78.748,1759.909158,74.38,82.718
Eswatini,Africa,60.006,115.2859353,55.894,64.596
Ethiopia,Africa,66.706,115.2859353,64.798,68.648
Fiji,Oceania,67.526,491.0545578,65.76,69.436
Finland,Europe,81.976,1098.804093,79.178,84.768
France,Europe,82.728,1089.868333,79.792,85.544
Gabon,Africa,66.448,451.2428865,64.378,68.634
Gambia,Africa,62.228,249.0509316,60.822,63.662
Georgia,Europe,73.808,1917.724954,69.394,78.168
Germany,Europe,81.412,1599.516213,79.05,83.786
Ghana,Africa,64.166,40.54004284,63.072,65.284
Greece,Europe,82.308,2078.553484,79.896,84.72
Grenada,North America,72.47,158.1957684,70.138,75.034
Guadeloupe,North America,82.2,111.7740887,78.542,85.52
Guatemala,North America,74.384,111.7740887,71.456,77.236
Guinea,Africa,61.68,316.0389976,60.914,62.218
Guinea-Bissau,Africa,58.444,25.27625157,56.404,60.358
Guyana,South America,69.93,359.1370926,66.932,73.146
Haiti,North America,64.108,143.0327513,61.93,66.292
Honduras,North America,75.342,469.8045412,73.036,77.624
Hungary,Europe,76.902,2060.339486,73.288,80.312
Iceland,Europe,83.07,848.1098619,81.598,84.546
India,Asia,69.73,89.28878531,68.53,71.038
Indonesia,Asia,71.774,1675.488159,69.622,74.034
Iran,Asia,76.742,936.5437313,75.644,77.952
Iraq,Asia,70.654,1184.439191,68.582,72.736
Ireland,Europe,82.354,976.4989214,80.726,83.948
Israel,Asia,83.04,1280.73134,81.416,84.556
Italy,Europe,83.568,1493.270362,81.384,85.598
Jamaica,North America,74.55,312.4730399,72.93,76.204
Japan,Asia,84.67,1583.164556,81.532,87.718
Jordan,Asia,74.602,2306.093102,72.908,76.382
Kazakhstan,Asia,73.488,1800.876735,69.112,77.598
Kenya,Africa,66.696,264.375495,64.308,69.048
Kiribati,Oceania,68.462,1396.041572,64.34,72.43
Kuwait,Asia,75.538,1412.679615,74.802,76.652
Kyrgyzstan,Asia,71.488,519.5940996,67.466,75.628
Laos,Asia,68.02,814.6390364,66.224,69.86
Latvia,Europe,75.322,1189.085205,70.288,80.034
Lebanon,Asia,79,2037.535036,77.224,80.93
Lesotho,Africa,54.366,447.9989357,51.248,57.61
Liberia,Africa,64.16,154.4306016,62.748,65.574
Libya,Africa,72.996,327.1629079,70.184,76.028
Lithuania,Europe,75.954,1292.016671,70.358,81.364
Luxembourg,Europe,82.312,6330.872751,80.236,84.394
Madagascar,Africa,67.178,404.181994,65.546,68.828
Malawi,Africa,64.306,241.0807393,61.154,67.45
Malaysia,Asia,76.218,441.1622869,74.29,78.372
Maldives,Asia,79.038,560.857721,77.654,80.848
Mali,Africa,59.442,316.9299731,58.652,60.232
Malta,Europe,82.598,1527.900301,80.788,84.314
Mauritania,Africa,64.994,30.26032346,63.352,66.604
Mauritius,Africa,75.06,542.4717732,71.73,78.518
Mexico,North America,75.152,327.0804119,72.308,77.966
Moldova,Europe,71.928,1747.2,67.66,76.176
Mongolia,Asia,69.942,1982.45284,65.872,74.208
Montenegro,Europe,76.946,1100.830774,74.516,79.356
Morocco,Africa,76.77,682.3107617,75.51,77.988
Mozambique,Africa,60.882,501.9020899,57.826,63.69
Myanmar,Asia,67.168,226.5008488,64.062,70.174
Namibia,Africa,63.756,298.4115965,60.756,66.548
Nepal,Asia,70.882,511.6493522,69.35,72.324
Netherlands,Europe,82.348,1459.867617,80.672,84.002
New Zealand,Oceania,82.356,685.1157129,80.66,84.032
Nicaragua,North America,74.582,327.7936786,71.066,78.056
Niger,Africa,62.528,118.8088476,61.378,63.738
Nigeria,Africa,54.808,162.4970924,53.9,55.748
North Korea,Asia,72.332,993.2940312,68.684,75.8
North Macedonia,Europe,75.864,2784.928251,73.864,77.918
Norway,Europe,82.484,552.7860852,80.546,84.432
Oman,Asia,77.95,271.0929241,76.228,80.406
Pakistan,Asia,67.328,363.1659969,66.374,68.36
Panama,North America,78.584,219.3262857,75.534,81.798
Papua New Guinea,Oceania,64.578,1689.300979,63.332,65.918
Paraguay,South America,74.284,384.5145655,72.286,76.432
Peru,South America,76.822,97.6932865,74.174,79.568
Philippines,Asia,71.282,1132.240949,67.316,75.554
Poland,Europe,78.784,1363.104161,74.892,82.614
Portugal,Europe,82.11,1133.385994,79.118,84.896
Qatar,Asia,80.304,1020.3,79.246,82.076
Romania,Europe,76.098,1204.265677,72.668,79.556
Russia,Europe,72.566,2294.962234,67.134,77.784
Rwanda,Africa,69.064,93.99341477,66.862,71.17
S. Sudan,Africa,57.948,383.673503,56.454,59.488
Saint Lucia,North America,76.262,553.9,74.904,77.646
Saint Vincent and the Grenadines,North America,72.608,259.6,70.348,75.212
Samoa,Oceania,73.366,1470.648264,71.354,75.532
Saudi Arabia,Asia,75.216,1340.956322,74.014,76.854
Senegal,Africa,68.03,359.4077758,65.848,70.004
Serbia,Europe,76.05,1898.570887,73.458,78.66
Seychelles,Africa,73.47,543.6394055,69.972,77.446
Sierra Leone,Africa,54.81,468.5916042,53.948,55.622
Singapore,Asia,83.662,851.1768017,81.574,85.772
Slovakia,Europe,77.586,1500.898383,74.08,80.996
Slovenia,Europe,81.388,2236.479966,78.654,84.086
Solomon Islands,Oceania,73.014,1419.127189,71.306,74.896
Somalia,Africa,57.5,198.4656967,55.822,59.24
South Africa,Africa,64.124,509.5543473,60.728,67.652
South Korea,Asia,83.062,1667.39187,79.962,85.988
Spain,Europe,83.612,1498.993616,80.868,86.302
Sri Lanka,ASIA,77.056,254.6424097,73.692,80.326
Sudan,Africa,65.406,339.8546674,63.55,67.292
Suriname,South America,71.746,511.7402784,68.526,75.13
Sweden,Europe,82.874,716.1581123,81.126,84.616
Switzerland,Europe,83.836,1489.796121,81.928,85.654
Syria,Asia,73.216,2291.742623,68.768,78.24
Taiwan,Asia,80.53,,77.884,83.262
Tajikistan,Asia,71.166,361.1447378,68.984,73.474
Tanzania,Africa,65.46,181.7845771,63.632,67.26
Thailand,Asia,77.194,837.4164676,73.536,80.908
Togo,Africa,61.17,147.3257482,60.266,62.054
Tonga,North America,70.968,986.9293544,69.01,72.966
Trinidad and Tobago,North America,73.55,682.5137347,70.91,76.276
Tunisia,Africa,76.79,1579.95018,74.782,78.812
Turkey,Asia,77.766,1770.729158,74.808,80.622
Turkmenistan,Asia,68.24,962.1125745,64.746,71.776
Uganda,Africa,63.408,195.7212747,61.048,65.65
Ukraine,Europe,72.092,1849.405074,67.122,76.886
United Arab Emirates,Asia,78.034,748.4541148,77.352,79.374
United Kingdom,Europe,81.398,827.6695621,79.71,83.052
United States of America,North America,78.93,181.7845771,76.424,81.464
United States Virgin Islands,North America,80.654,1016.61031,78.052,83.148
Uruguay,South America,77.986,899.3879186,74.222,81.532
Uzbekistan,Asia,71.734,495.9184912,69.566,73.882
Vanuatu,Oceania,70.546,1069.162854,69.034,72.24
Venezuela,South America,72.214,396.1579265,68.476,76.148
Vietnam,Asia,75.47,1049.571051,71.388,79.58
Yemen,Asia,66.194,423.8498763,64.504,67.902
Zambia,Africa,63.836,145.4240731,60.82,66.816
Zimbabwe,Africa,61.362,122.8570347,59.652,62.796
