"name","total","male","female"
"Hong Kong","84.8940","82.0020","87.7860"
"Japan","84.6700","81.5320","87.7180"
"Macau","84.2960","81.3340","87.2300"
"Switzerland","83.8360","81.9280","85.6540"
"Singapore","83.6620","81.5740","85.7720"
"Spain","83.6120","80.8680","86.3020"
"Italy","83.5680","81.3840","85.5980"
"Australia","83.4960","81.5580","85.4520"
"Channel Islands","83.1440","81.2440","84.9680"
"Iceland","83.0700","81.5980","84.5460"
"South Korea","83.0620","79.9620","85.9880"
"Israel","83.0400","81.4160","84.5560"
"Sweden","82.8740","81.1260","84.6160"
"France","82.7280","79.7920","85.5440"
"Martinique","82.6140","79.2740","85.6680"
"Malta","82.5980","80.7880","84.3140"
"Canada","82.5160","80.5560","84.4460"
"Norway","82.4840","80.5460","84.4320"
"New Zealand","82.3560","80.6600","84.0320"
"Ireland","82.3540","80.7260","83.9480"
"Netherlands","82.3480","80.6720","84.0020"
"Luxembourg","82.3120","80.2360","84.3940"
"Greece","82.3080","79.8960","84.7200"
"Guadeloupe","82.2000","78.5420","85.5200"
"Portugal","82.1100","79.1180","84.8960"
"Finland","81.9760","79.1780","84.7680"
"Belgium","81.7020","79.4120","83.9380"
"Austria","81.6300","79.2860","83.9260"
"Germany","81.4120","79.0500","83.7860"
"United Kingdom","81.3980","79.7100","83.0520"
"Slovenia","81.3880","78.6540","84.0860"
"Cyprus","81.0540","79.0100","83.0840"
"Denmark","80.9680","79.0300","82.9160"
"United States Virgin Islands","80.6540","78.0520","83.1480"
"Reunion","80.6380","77.8000","84.0300"
"Taiwan","80.5300","77.8840","83.2620"
"Costa Rica","80.3760","77.8700","82.9520"
"Qatar","80.3040","79.2460","82.0760"
"Chile","80.2720","77.8800","82.5120"
"Puerto Rico","80.1860","76.6400","83.5540"
"Guam","80.1580","76.9520","83.5720"
"French Guiana","80.0500","77.1460","83.1220"
"Mayotte","79.5440","76.2720","83.0360"
"Czech Republic","79.4300","76.8200","81.9960"
"Barbados","79.2680","77.9040","80.5500"
"Maldives","79.0380","77.6540","80.8480"
"Lebanon","79","77.2240","80.9300"
"Curacao","78.9420","75.8560","81.6840"
